Review Snippet,rating,label
"This company needs to get its act together. I don't know how such a large company is so disorganized. If you call them for support, you'll get transferred at least two times, minimum, before someone is able to help you. You'll hear common phrases such as, ""This request needs to go to our East Coast division."" ""Sorry, the number you called is for Enterprise Support, but this account is supported under Small Business support."" ""No, I can't transfer you."" When it comes to support, the only hope you can have is if you have a few personal contacts from AT&T you can blast an email to when something goes wrong.",-1,Negative
Our relationship with AT&T Network Services encompasses using cellular network to provide cellular service and data transmission from our telematics devices to our databases for analysis.  The overall experience and partnership has been positive and would recommend others to partner and use their services as well.,1,Positive
"It has one integrated contract and a single, easy-to-read bill. An MPLS VPN uses multiprotocol label switching (MPLS) to create a virtual private network (VPN). MPLS VPN is a flexible method to transport and route several types of network traffic using a private MPLS backbone. AT&T VPN is an MPLS VPN.",1,Positive
"As an Global Enterprise customer of AT&T, I can say AT&T is very responsive to our needs. The area's that are lacking are not really business impacting, more ""It'd be nice if..."" type things. The stuff that really matters is top notch.",1,Positive
"Self-driving carts Internal systems of airborne vehicles such as brakes, control vehicles and emergency situations. In traditional networks, a device sends a data information hundreds of kilometers away. It takes time to move data across large physical distances. As a result, delays may occur. With Edge computing, critical functions can be processed in real time on the edge of the network. Verita from secondary systems such as updating the car's maps or being in-car infotainment can be processed in the cloud.",1,Positive
"Great Experience. We honestly have not had any issues. If we ever come across any questions, customer service is knowledgeable.  AT&T also made it very easy to switch from our previous provider. ",1,Positive
"Great sales experience, good implementation experience, terrible Support.  All is good until you need support. Count on hold times longer than a hour, support personnel that don't know what there talking about, and resolutions that for any other company take less than a hour be up to 24 hours with AT&T.  Not a good choice for any SMB as your priority will be but a drip out of an entire ocean. We have multiple location in the United States so I deal with many telecom vendors and by far AT&T's support performance rates last on the list. ",-1,Negative
"While they have a huge footprint their service has deteriorated so badly that if you want AT&T Network services, I highly recommend purchasing through a re-seller.",-1,Negative
"I think this service is ok. I believe they charge a little to much for what you are provided. Their claim is that they cover more areas when than their competition but living in a metropolitan area, I feel every network would cover my area.",1,Positive
I am very satisfied with our AT&T APvN service.  We have over 99.9% up time and it is a very stable product.,1,Positive
"I utilize AT&T Network Services daily during responsibilities and job duties with Right Management. I have found the AT&T Network to be reliable and stable with virtually no interruptions of service or connectivity issues.  Whether I am hard-wired or utilizing a wireless connection, I can rest assured my  telecommunications will run smoothly, which allows me to provide the best service to my Clients.  

I am very pleased with my AT&T Network Services",1,Positive
"Overall, AT&T provides the network services that I need but their customer service majorly lacks. Throughout the years I have had many issues with getting different answers to the same questions and being passed around from one customer service representative to another. However, this is sometimes expected with large companies. ",-1,Negative
"Fast, reliable service. I would recommend this product to anyone in need of network services. With AT&T, we were able to get up and running ASAP. ",1,Positive
quite stable service with minimal interruption.  generally good customer service. customer representatives are helpful and efficient and easy to to deal with.  very customer orientated ,1,Positive
"Good coverage area in most of the places throughout US. Some palces we do face netwrok coverage issue. ATT should be able to make  almost 100% coverage area .

International calling should be made cheaper 

Mobile plans prepaid and postpaid are very expensive. Should be made better prices
",-1,Negative
"Satisfied with their service.  Our rep was knowledgeable and did what she said she would do. Billing however, has been more of a challenge due to their terms.",1,Positive
Great uptime and value added services like leased equipment. Excellent support staff available when the business requires action not to mention global reach into Asia and India ,1,Positive
We rarely have any problem with our AT&T service.  When we do have a problem AT&T is always quick to resolve the issue.,1,Positive
"Consistent network speed, inconsistent equipment and software. There always seems to be changes in their GUI and the process of IP passthrough.",-1,Negative
Very good experience. we never face any issues. If we ever have any problem regarding network or anything related to AT&T(VPN) then customer service plays there roll well .,1,Positive
"For my phone service, I do not get much service in East Texas. As for my internet, it is spotty and when I call reps to come out, they are never on time.",-1,Negative
Service works very well once it is started. A great network to join without problem.AT&T also made it very easy to switch from our previous provider. ,1,Positive
"Did not like when they chose to push updates through our systems.  Happened at inconvenient times.  When this would happen, the remote sites VPN boxes would have issues and they would be without service until an IT representative from our company would come onsite.",-1,Negative
The pricing is steep compared to other vendors. The overall customer service is good; whenever we have needed technical support they have been more than helpful.,1,Positive
"Internet connection is flaky. I've had At&T for a number of years but since starting, my connections have been problematic.",-1,Negative
"Network system is well designed in theory, but implementation in our facility is tricky due to space limitations and competing resource interests. Planning for implementation could use a bit more latitude given our inherent limitations. ",-1,Negative
I never have issues with services and it is always available during travel.   I travel frequently between business and personal and this service is always exceptional.,1,Positive
