title,review,date_p,rating,reviewer_role,company_size,designation,industury
Conferencing tool within organisation,I have used this product for  several times in my organisation. this product is easy to use and very good option for conferencing within organisation.,10-Jan-19,4,R&D/Product Development,<50M USD,Design Engineer,Services Industry
AT&T Connect || Interactive presentation and collaborative tool,"AT&T Connect Service is an interactive presentation and collaborative tool which combines audio conferencing and data-sharing through the power of the internet.
It is an AT&T product which give users option to create meetings as host and also to join metting rooms as participants.",18-Apr-19,5,R&D/Product Development,"Gov't/PS/ED 5,000 - 50,000 Employees",Senior Software Engineer,Manufacturing Industry
a decent product but didn't deliver what we needed,"Not bad but did not meet our needs. We had connection issues, dropped called, etc, moreso than with our current solution. Hopefully these issues will be improved over time and we can revisit this. ",30-Oct-18,3,Data and Analytics,<50M USD,Quality Assurance,Miscellaneous Industry
Connects people across the globe,"I use the tool almost every day for testing and troubleshooting sessions across different departments, companies, and time zones. The screen share and built-in chat room have made it a lot easier to collaborate with all the attendees.",25-Apr-19,5,Data and Analytics,<50M USD,Senior Software Engineer,Services Industry
"Easy to use, may improve certain features to be more user friendly",It serves the purpose of our general web meeting with people all around the world. The web sharing and phone quality are in general good. Sometimes the screen will be frozen (possibly due to network issue) so people have to re-share the screen. Audio by phone has better sound quality than using computer audio. More advanced white board drafting may be desired.,27-Nov-18,4,R&D/Product Development,30B + USD,Engineer,Manufacturing Industry
East to integrate and use and help in multiple languages,Voice quality is excellent. ability to connect from IP phones of office network as well as mobile phones. Price is littlebit on higher side. call drops are very less. support is available for multiple geographies and help in multiple languages.,09-Oct-18,4,Analyst,3B - 10B USD,QA Architect,Manufacturing Industry
Excellent App,"We use At&T regularly for the conference calls. Desktop sharing and recording we do regularly.
We use At&T regularly for the conference calls. Desktop sharing and recording we do regularly.",24-Dec-18,5,Analyst,50M - 250M USD,Software Engineer,Services Industry
Seamless Connection,Our clients were located at north america so we used AT&T for the our service deliverable and it's milestone review. It worked great to connect with my clients and for the internal. ,12-Feb-19,4,R&D/Product Development,"Gov't/PS/ED 5,000 - 50,000 Employees",Lead Engineer,Education Industry
Needs to improve to match up with newer tools in the market,"Overall experience is good.Have been using it for several years, however of late facing call drops and difficulty in connecting at times.",22-Nov-18,4,COO,10B - 30B USD,Director - Shared Services,Finance Industry
Mobility with AT&T Connect,With AT&T Connect on your mobile device people can easily attend their meetings from virtually anywhere  anytime. ,27-Mar-19,5,Infrastructure and Operations,1B - 3B USD,System Engineer,Finance Industry
