label,review,rating,industry
1,I have used this product for several times in my organisation. this product is easy to use and very good option for conferencing within organisation.,4,services
1,AT&T Connect Service is an interactive presentation and collaborative tool which combines audio conferencing and data-sharing through the power of the internet. It is an AT&T product which give users option to create meetings as host and also to join metting rooms as participants.,5,manufacturing
0,Not bad but did not meet our needs. We had connection issues dropped called etc moreso than with our current solution. Hopefully these issues will be improved over time and we can revisit this.,3,miscellaneous
1,I use the tool almost every day for testing and troubleshooting sessions across different departments,5,services
1,It serves the purpose of our general web meeting with people all around the world. The web sharing and phone quality are in general good. Sometimes the screen will be frozen (possibly due to network issue) so people have to re-share the screen. Audio by phone has better sound quality than using computer audio. More advanced white board drafting may be desired.,4,manufacturing
1,Voice quality is excellent. ability to connect from IP phones of office network as well as mobile phones. Price is littlebit on higher side. call drops are very less. support is available for multiple geographies and help in multiple languages.,4,manufacturing
1,We use At&T regularly for the conference calls. Desktop sharing and recording we do regularly. We use At&T regularly for the conference calls. Desktop sharing and recording we do regularly.,5,services
1,Our clients were located at north america so we used AT&T for the our service deliverable and it's milestone review. It worked great to connect with my clients and for the internal.,4,education
1,Overall experience is good.Have been using it for several years however of late facing call drops and difficulty in connecting at times.,4,finance
1,With AT&T Connect on your mobile device people can easily attend their meetings from virtually anywhere anytime.,5,finance
1,Decent service and good rates. Great communications system for conferences. Normal deployment results.,5,communications
1,Deployment was very easy from the user point of view. Simply open the software and connect; it just works.,5,manufacturing
1,Excellent product for conference calls. Good for working from home. Free outgoing for users. The quality is very good for calls. Call drop rate is very less.,5,services
1,The project lead from AT&T was knowledgeable and was able to provide implementation best practices. They also had experience working with clients that have limited staff availability. The timing of the process was considerate of our resources.,4,finance
1,AT&T has a great service that brings cross functional team together using a great UI,5,manufacturing
1,Strong customer service is all phases of implementation. Some minor technology issues occurred but were resolved fairly quickly.,4,manufacturing
1,Smooth transition all good so far better realiabily then past vendors,4,manufacturing
1,AT&T lets conference calls easily handeled. Sometimes the toll-free numbers from respective countries didn't work and hence users had to used toll-ed dail-in numbers which is not fair. These situtations can be avioaded for hassle-free calls.,5,manufacturing
1,Useful but sometimes problems with flash,4,services
1,ATT did a very good job overall and we were pleased with the outcome,4,transportation
1,Great communications system for meetings and conferences.,5,finance
1,the web conferencing service is very good with excellent call quality,5,retail
1,has worked well for our company does what we expected,4,finance
1,AT&T Teleconference has been good partner for our connectivity needs. The services are up to the mark even after so many years. We do face problems time to time with noise on the line but they are quick to resolve the issues,4,manufacturing
1,The meeting software has worked well for our Creative and Travel teams. Making phone and web conferencing easier.,5,services
1,Good rates decent service and good customer support for the odd cases that went outside normal deployment results.,4,services
1,AT&T is a stable and reliable production for the most part. Some call drops have been reported and call quality varies at times. The ability to load the APP to our cell phone and track meetings was most helpful for meetings outside my work hours. It is easy to use and flexible. AT&T pricing is negotiable so you can pay by the services you use or pay a flat fee.,4,finance
1,AT&T has a great service that brings cross functional team together using a great UI,5,manufacturing
1,Strong customer service is all phases of implementation. Some minor technology issues occurred but were resolved fairly quickly.,4,manufacturing
1,Smooth transition all good so far better realiabily then past vendors,4,manufacturing
1,AT&T lets conference calls easily handeled. Sometimes the toll-free numbers from respective countries didn't work and hence users had to used toll-ed dail-in numbers which is not fair. These situtations can be avioaded for hassle-free calls.,5,manufacturing
1,Useful but sometimes problems with flash,4,services
1,ATT did a very good job overall and we were pleased with the outcome,4,transportation
1,Great communications system for meetings and conferences.,5,finance
1,the web conferencing service is very good with excellent call quality,5,retail
1,has worked well for our company does what we expected,4,finance
1,AT&T Teleconference has been good partner for our connectivity needs. The services are up to the mark even after so many years. We do face problems time to time with noise on the line but they are quick to resolve the issues.,4,manufacturing
1,The meeting software has worked well for our Creative and Travel teams. Making phone and web conferencing easier.,5,services
1,Good rates decent service and good customer support for the odd cases that went outside normal deployment results,4,services
1,AT&T is a stable and reliable production for the most part. Some call drops have been reported and call quality varies at times. The ability to load the APP to our cell phone and track meetings was most helpful for meetings outside my work hours. It is easy to use and flexible. AT&T pricing is negotiable so you can pay by the services you use or pay a flat fee.,4,finance
0,AT & T Connect is a very bad product. They update the platform frequently and folks are constantly having to update the software before launching a meeting. Very dislike by the entire organization. Just learned that they are moving to WebEx and abandoing Connect,1,manufacturing
0,On the whole it was a good experience even though there were certain road blocks,3,healthcare
1,The implementation of the service went well. Since then many of our users find that AT&T Connect is cumbersome and not always reliable. Since then AT&T has partnered with Cisco on their WebEx platform. We are in the process of migrating away from Connect to WebEx.,4,services
1,Ease of use is good.,4,services
0,Terrible support and clunky interface. Switched to Google after 2 months.,2,retail
0,SLAs do not match the negative experience or business disruption.,3,healthcare
1,Product works well in a global organization good voice clarity abvility to screen share,5,finance
1,Very difficult to get a hold of someone to edit account information. Help tickets take a long time. We also weren't communicated when new versions would be released in advance so we had several surprises.,4,finance
1,All is going well,4,manufacturing
1,Product meets organization needs.,4,government
